hero,role,level,source,slot,ability,metric,value
avery,Tank,10,ability,primary,sunblade_slash,combo_steps/2/damage,85.0
avery,Tank,10,ability,primary,sunblade_slash,combo_steps/3/damage,134.6
avery,Tank,10,ability,primary,sunblade_slash,swing_projectile_damage,45.55
avery,Tank,10,ability,ability_1,searing_cut,cooldown,5.2
avery,Tank,10,ability,ability_1,searing_cut,range,190.0
avery,Tank,10,ability,ability_1,searing_cut,damage,100.65
avery,Tank,10,ability,ability_1,searing_cut,heal_per_target,79.75
avery,Tank,10,ability,ability_1,searing_cut,heal_cap,122.5
avery,Tank,10,ability,movement,solar_charge,cooldown,6.75
avery,Tank,10,ability,movement,solar_charge,trail_zone/tick_damage,14.0
avery,Tank,10,ability,cc,dawnbreaker,cooldown,8.3
avery,Tank,10,ability,cc,dawnbreaker,range,150.0
avery,Tank,10,ability,cc,dawnbreaker,damage,89.5
avery,Tank,10,ability,ultimate,phoenix_rebirth,cooldown,73.0
avery,Tank,10,ability,ultimate,phoenix_rebirth,range,300.0
avery,Tank,10,ability,ultimate,phoenix_rebirth,damage,207.0
avery,Tank,15,stat,,,health,1728.0
avery,Tank,15,stat,,,weapon,104.0
avery,Tank,15,stat,,,magic,100.0
avery,Tank,15,stat,,,armor,72.0
avery,Tank,15,stat,,,magic_resist,53.0
avery,Tank,15,stat,,,move_speed,540.0
avery,Tank,15,derived,,,effective_hp_physical,2972.16
avery,Tank,15,derived,,,effective_hp_magic,2643.84
avery,Tank,15,ability,primary,sunblade_slash,cooldown,0.0
avery,Tank,15,ability,primary,sunblade_slash,combo_steps/1/damage,100.0
avery,Tank,15,ability,primary,sunblade_slash,combo_steps/2/damage,100.0
avery,Tank,15,ability,primary,sunblade_slash,combo_steps/3/damage,157.6
avery,Tank,15,ability,primary,sunblade_slash,swing_projectile_damage,55.8
avery,Tank,15,ability,ability_1,searing_cut,cooldown,4.2
avery,Tank,15,ability,ability_1,searing_cut,range,190.0
avery,Tank,15,ability,ability_1,searing_cut,damage,121.4
avery,Tank,15,ability,ability_1,searing_cut,heal_per_target,101.0
avery,Tank,15,ability,ability_1,searing_cut,heal_cap,145.0
avery,Tank,15,ability,movement,solar_charge,cooldown,5.5
avery,Tank,15,ability,movement,solar_charge,trail_zone/tick_damage,17.0
avery,Tank,15,ability,cc,dawnbreaker,cooldown,6.8
avery,Tank,15,ability,cc,dawnbreaker,range,150.0
avery,Tank,15,ability,cc,dawnbreaker,damage,107.0
avery,Tank,15,ability,ultimate,phoenix_rebirth,cooldown,58.0
avery,Tank,15,ability,ultimate,phoenix_rebirth,range,300.0
avery,Tank,15,ability,ultimate,phoenix_rebirth,damage,272.0
avery,Tank,20,stat,,,health,2088.0
avery,Tank,20,stat,,,weapon,124.0
avery,Tank,20,stat,,,magic,125.0
avery,Tank,20,stat,,,armor,87.0
avery,Tank,20,stat,,,magic_resist,63.0
avery,Tank,20,stat,,,move_speed,540.0
avery,Tank,20,derived,,,effective_hp_physical,3904.56
avery,Tank,20,derived,,,effective_hp_magic,3403.44
avery,Tank,20,ability,primary,sunblade_slash,cooldown,0.0
avery,Tank,20,ability,primary,sunblade_slash,combo_steps/1/damage,115.0
avery,Tank,20,ability,primary,sunblade_slash,combo_steps/2/damage,115.0
avery,Tank,20,ability,primary,sunblade_slash,combo_steps/3/damage,180.6
avery,Tank,20,ability,primary,sunblade_slash,swing_projectile_damage,66.05
avery,Tank,20,ability,ability_1,searing_cut,cooldown,3.2
avery,Tank,20,ability,ability_1,searing_cut,range,190.0
avery,Tank,20,ability,ability_1,searing_cut,damage,142.15
avery,Tank,20,ability,ability_1,searing_cut,heal_per_target,122.25
avery,Tank,20,ability,ability_1,searing_cut,heal_cap,167.5
avery,Tank,20,ability,movement,solar_charge,cooldown,4.25
avery,Tank,20,ability,movement,solar_charge,trail_zone/tick_damage,20.0
avery,Tank,20,ability,cc,dawnbreaker,cooldown,5.3
avery,Tank,20,ability,cc,dawnbreaker,range,150.0
avery,Tank,20,ability,cc,dawnbreaker,damage,124.5
avery,Tank,20,ability,ultimate,phoenix_rebirth,cooldown,43.0
avery,Tank,20,ability,ultimate,phoenix_rebirth,range,300.0
avery,Tank,20,ability,ultimate,phoenix_rebirth,damage,337.0
rook,Carry,1,stat,,,health,600.0
rook,Carry,1,stat,,,weapon,36.0
rook,Carry,1,stat,,,magic,20.0
rook,Carry,1,stat,,,armor,20.0
rook,Carry,1,stat,,,magic_resist,20.0
rook,Carry,1,stat,,,move_speed,540.0
rook,Carry,1,derived,,,effective_hp_physical,720.0
rook,Carry,1,derived,,,effective_hp_magic,720.0
rook,Carry,1,ability,primary,rook_basic_attack,cooldown,0.0
rook,Carry,1,ability,primary,rook_basic_attack,range,150.0
rook,Carry,1,ability,primary,rook_basic_attack,damage,41.6
rook,Carry,1,ability,primary,rook_basic_attack,values/lifesteal,0.1
rook,Carry,5,stat,,,health,840.0
rook,Carry,5,stat,,,weapon,42.542
rook,Carry,5,stat,,,magic,36.0
rook,Carry,5,stat,,,armor,28.0
rook,Carry,5,stat,,,magic_resist,24.0
rook,Carry,5,stat,,,move_speed,540.0
rook,Carry,5,derived,,,effective_hp_physical,1075.2
rook,Carry,5,derived,,,effective_hp_magic,1041.6
rook,Carry,5,ability,primary,rook_basic_attack,cooldown,0.0
rook,Carry,5,ability,primary,rook_basic_attack,range,150.0
rook,Carry,5,ability,primary,rook_basic_attack,damage,45.525
rook,Carry,5,ability,primary,rook_basic_attack,values/lifesteal,0.1
rook,Carry,10,stat,,,health,1140.0
rook,Carry,10,stat,,,weapon,52.961
rook,Carry,10,stat,,,magic,56.0
rook,Carry,10,stat,,,armor,38.0
rook,Carry,10,stat,,,magic_resist,29.0
rook,Carry,10,stat,,,move_speed,540.0
rook,Carry,10,derived,,,effective_hp_physical,1573.2
rook,Carry,10,derived,,,effective_hp_magic,1470.6
rook,Carry,10,ability,primary,rook_basic_attack,cooldown,0.0
rook,Carry,10,ability,primary,rook_basic_attack,range,150.0
rook,Carry,10,ability,primary,rook_basic_attack,damage,51.777
rook,Carry,10,ability,primary,rook_basic_attack,values/lifesteal,0.1
rook,Carry,15,stat,,,health,1440.0
rook,Carry,15,stat,,,weapon,94.588
rook,Carry,15,stat,,,magic,76.0
rook,Carry,15,stat,,,armor,48.0
rook,Carry,15,stat,,,magic_resist,34.0
rook,Carry,15,stat,,,move_speed,540.0
rook,Carry,15,derived,,,effective_hp_physical,2131.2
rook,Carry,15,derived,,,effective_hp_magic,1929.6
rook,Carry,15,ability,primary,rook_basic_attack,cooldown,0.0
rook,Carry,15,ability,primary,rook_basic_attack,range,150.0
rook,Carry,15,ability,primary,rook_basic_attack,damage,76.753
rook,Carry,15,ability,primary,rook_basic_attack,values/lifesteal,0.1
rook,Carry,20,stat,,,health,1740.0
rook,Carry,20,stat,,,weapon,150.0
rook,Carry,20,stat,,,magic,96.0
rook,Carry,20,stat,,,armor,58.0
rook,Carry,20,stat,,,magic_resist,39.0
rook,Carry,20,stat,,,move_speed,540.0
rook,Carry,20,derived,,,effective_hp_physical,2749.2
rook,Carry,20,derived,,,effective_hp_magic,2418.6
rook,Carry,20,ability,primary,rook_basic_attack,cooldown,0.0
rook,Carry,20,ability,primary,rook_basic_attack,range,150.0
rook,Carry,20,ability,primary,rook_basic_attack,damage,110.0
rook,Carry,20,ability,primary,rook_basic_attack,values/lifesteal,0.1
